prediction;test_price
27.98;28.78
28.34;28.81
28.53;28.14
28.47;28.2
28.07;28.74
28.1;29.0
28.07;28.63
28.45;28.29
28.51;28.28
28.19;28.16
28.13;27.78
28.22;27.72
27.76;27.16
27.67;27.18
27.25;26.64
27.13;26.31
26.72;26.76
26.19;26.45
26.44;26.48
26.41;26.04
26.4;26.02
26.08;25.1
26.0;24.87
25.32;24.53
24.92;24.88
24.48;25.5
24.68;25.02
24.99;25.62
24.77;25.12
25.14;25.66
24.96;26.03
25.17;26.75
25.69;26.96
26.18;26.23
26.42;27.48
26.07;27.67
26.72;28.02
26.9;27.85
27.3;27.94
27.46;28.6
27.43;28.19
27.85;28.34
27.93;28.08
27.86;28.42
27.69;28.15
28.05;28.41
27.89;28.69
27.84;28.69
28.08;28.88
28.19;28.39
28.53;28.27
28.2;28.27
28.13;27.8
28.27;27.6
27.97;27.26
27.65;26.83
27.21;26.57
26.89;27.21
26.51;27.4
26.65;27.33
27.0;26.85
27.05;26.57
26.64;27.67
26.33;27.25
27.01;27.83
26.9;27.95
27.32;27.99
27.46;27.71
27.44;27.37
27.28;27.04
27.06;27.37
26.64;27.84
26.69;27.53
27.16;27.51
27.16;27.25
27.07;27.5
27.04;27.1
27.11;26.91
26.87;27.35
26.85;26.33
27.01;26.21
26.47;26.11
26.28;26.45
26.13;26.85
26.26;27.33
26.65;27.44
27.13;27.3
27.53;27.6
27.37;27.86
27.57;28.23
27.71;28.29
27.89;28.58
28.01;28.29
28.23;29.05
28.11;29.22
28.62;29.04
28.87;29.42
28.78;30.27
29.0;30.15
29.73;29.92
29.73;30.33
29.61;29.95
29.69;30.36
29.56;30.52
29.7;30.45
29.81;30.29
29.92;29.74
29.92;29.36
29.37;29.32
29.08;28.99
28.89;29.35
28.77;29.54
28.94;29.49
29.06;29.31
29.2;29.05
29.08;28.95
28.95;29.97
28.75;30.09
29.45;28.8
29.8;28.95
29.0;29.51
28.87;29.02
29.2;29.0
29.06;29.6
28.92;29.36
29.45;28.88
29.29;28.74
28.99;28.69
28.78;27.86
28.59;28.26
28.07;28.11
28.06;28.34
28.12;27.51
28.2;27.54
27.79;27.22
27.57;27.09
27.18;26.79
27.08;26.96
26.8;26.24
26.83;26.13
26.32;25.77
25.95;25.82
25.67;25.47
25.46;25.39
25.23;25.67
25.27;26.55
25.45;27.22
26.0;26.96
26.64;26.6
26.69;26.53
26.36;27.17
26.11;27.06
26.56;27.13
26.64;26.61
26.66;26.97
26.42;27.63
26.53;26.48
26.88;26.24
26.5;26.49
26.2;27.31
26.22;27.41
26.84;26.97
27.21;27.94
26.7;28.61
27.35;28.06
28.02;27.69
27.72;28.2
27.49;28.35
27.71;27.99
28.03;27.7
27.65;27.76
27.5;27.77
27.49;28.09
27.32;27.57
27.67;27.66
27.3;27.71
27.25;28.43
27.34;28.22
27.78;28.3
27.84;28.36
27.95;27.51
27.91;27.36
27.39;28.72
27.02;28.29
27.92;28.59
28.0;28.74
28.28;29.01
28.47;28.23
28.6;28.36
28.04;28.08
27.95;29.17
27.82;30.0
28.52;28.71
29.33;28.38
28.66;27.72
28.15;28.33
27.68;28.57
28.01;25.94
28.33;26.77
26.75;26.76
26.64;26.14
26.63;25.77
26.06;24.65
25.72;23.18
24.8;22.4
23.63;20.76
22.67;20.1
21.43;23.31
20.37;22.4
22.29;20.39
22.53;21.17
21.26;21.59
21.06;23.16
21.37;22.08
22.57;20.11
22.33;20.41
20.86;19.72
20.44;18.64
19.88;20.86
19.06;20.91
19.87;22.1
20.57;22.6
21.42;21.84
22.0;22.7
21.7;21.14
22.02;19.9
21.46;20.38
20.37;19.26
20.05;19.0
19.5;17.59
19.27;18.89
17.94;18.39
18.61;17.22
18.52;18.03
17.79;17.4
18.19;16.34
17.65;18.42
17.09;19.37
18.31;19.22
18.88;19.63
19.13;19.65
19.58;17.74
19.46;18.72
18.56;19.14
18.8;19.01
18.87;19.86
19.24;21.74
19.6;20.53
20.97;20.68
20.82;20.21
20.35;20.02
20.01;20.16
19.7;21.06
19.7;20.88
20.45;20.21
20.47;19.86
19.96;19.42
19.8;19.35
19.56;19.47
19.49;19.64
19.63;19.01
19.35;19.9
19.23;20.09
19.38;21.18
19.58;20.81
20.6;21.53
20.52;20.52
20.98;20.28
20.67;19.75
